

===== 2026-08-19T08:02:17 START C:\Users\sasit\AppData\Local\Programs\Python\Python310\pythonw.exe D:\kabu\main\1-スクリーニング自動化プログラム\main\空売り無しリスト出しスクリプト.py =====
[karauri] 同日resume: 未完了=3587
[karauri][HTTP] targets=3587 workers=16 retries=1
[karauri][PROGRESS] 1600/3587 rate=32.67/s elapsed=0.8m eta=1.0m
[karauri][COMMIT] 1600/3587 ok=1597 fail=3 no_short=145
[karauri][PROGRESS] 1625/3587 rate=32.52/s elapsed=0.8m eta=1.0m
[karauri][PROGRESS] 1650/3587 rate=32.65/s elapsed=0.8m eta=1.0m
[karauri][PROGRESS] 1675/3587 rate=32.53/s elapsed=0.9m eta=1.0m
[karauri][PROGRESS] 1700/3587 rate=32.53/s elapsed=0.9m eta=1.0m
[karauri][PROGRESS] 1725/3587 rate=32.60/s elapsed=0.9m eta=1.0m
[karauri][PROGRESS] 1750/3587 rate=32.58/s elapsed=0.9m eta=0.9m
[karauri][PROGRESS] 1775/3587 rate=32.67/s elapsed=0.9m eta=0.9m
[karauri][PROGRESS] 1800/3587 rate=32.75/s elapsed=0.9m eta=0.9m
[karauri][COMMIT] 1800/3587 ok=1797 fail=3 no_short=176
[karauri][PROGRESS] 1825/3587 rate=32.63/s elapsed=0.9m eta=0.9m
[karauri][PROGRESS] 1850/3587 rate=32.81/s elapsed=0.9m eta=0.9m
[karauri][PROGRESS] 1875/3587 rate=32.82/s elapsed=1.0m eta=0.9m
[karauri][PROGRESS] 1900/3587 rate=32.89/s elapsed=1.0m eta=0.9m
[karauri][PROGRESS] 1925/3587 rate=32.93/s elapsed=1.0m eta=0.8m
[karauri][PROGRESS] 1950/3587 rate=33.11/s elapsed=1.0m eta=0.8m
[karauri][PROGRESS] 1975/3587 rate=33.25/s elapsed=1.0m eta=0.8m
[karauri][PROGRESS] 2000/3587 rate=33.30/s elapsed=1.0m eta=0.8m
[karauri][COMMIT] 2000/3587 ok=1997 fail=3 no_short=214
[karauri][PROGRESS] 2025/3587 rate=33.21/s elapsed=1.0m eta=0.8m
[karauri][PROGRESS] 2050/3587 rate=33.36/s elapsed=1.0m eta=0.8m
[karauri][PROGRESS] 2075/3587 rate=33.33/s elapsed=1.0m eta=0.8m
[karauri][PROGRESS] 2100/3587 rate=33.44/s elapsed=1.0m eta=0.7m
[karauri][PROGRESS] 2125/3587 rate=33.45/s elapsed=1.1m eta=0.7m
[karauri][PROGRESS] 2150/3587 rate=33.42/s elapsed=1.1m eta=0.7m
[karauri][PROGRESS] 2175/3587 rate=33.45/s elapsed=1.1m eta=0.7m
[karauri][PROGRESS] 2200/3587 rate=33.59/s elapsed=1.1m eta=0.7m
[karauri][COMMIT] 2200/3587 ok=2197 fail=3 no_short=244
[karauri][PROGRESS] 2225/3587 rate=33.52/s elapsed=1.1m eta=0.7m
[karauri][PROGRESS] 2250/3587 rate=33.61/s elapsed=1.1m eta=0.7m
[karauri][PROGRESS] 2275/3587 rate=33.70/s elapsed=1.1m eta=0.6m
[karauri][PROGRESS] 2300/3587 rate=33.69/s elapsed=1.1m eta=0.6m
[karauri][PROGRESS] 2325/3587 rate=33.71/s elapsed=1.1m eta=0.6m
[karauri][PROGRESS] 2350/3587 rate=33.74/s elapsed=1.2m eta=0.6m
[karauri][PROGRESS] 2375/3587 rate=33.73/s elapsed=1.2m eta=0.6m
[karauri][PROGRESS] 2400/3587 rate=33.78/s elapsed=1.2m eta=0.6m
[karauri][COMMIT] 2400/3587 ok=2397 fail=3 no_short=279
[karauri][PROGRESS] 2425/3587 rate=33.75/s elapsed=1.2m eta=0.6m
[karauri][PROGRESS] 2450/3587 rate=33.73/s elapsed=1.2m eta=0.6m
[karauri][PROGRESS] 2475/3587 rate=33.75/s elapsed=1.2m eta=0.5m
[karauri][PROGRESS] 2500/3587 rate=33.73/s elapsed=1.2m eta=0.5m
[karauri][PROGRESS] 2525/3587 rate=33.77/s elapsed=1.2m eta=0.5m
[karauri][PROGRESS] 2550/3587 rate=33.76/s elapsed=1.3m eta=0.5m
[karauri][PROGRESS] 2575/3587 rate=33.81/s elapsed=1.3m eta=0.5m
[karauri][PROGRESS] 2600/3587 rate=33.90/s elapsed=1.3m eta=0.5m
[karauri][COMMIT] 2600/3587 ok=2597 fail=3 no_short=305
[karauri][PROGRESS] 2625/3587 rate=33.78/s elapsed=1.3m eta=0.5m
[karauri][PROGRESS] 2650/3587 rate=33.77/s elapsed=1.3m eta=0.5m
[karauri][PROGRESS] 2675/3587 rate=33.84/s elapsed=1.3m eta=0.4m
[karauri][PROGRESS] 2700/3587 rate=33.91/s elapsed=1.3m eta=0.4m
[karauri][PROGRESS] 2725/3587 rate=33.84/s elapsed=1.3m eta=0.4m
[karauri][PROGRESS] 2750/3587 rate=33.84/s elapsed=1.4m eta=0.4m
